picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
200.00, 200.00, 9.25, 2.40, 19.77, 0.13, 200.13, 15.89, 0.02 ,0.30
204.00, 204.00, 8.20, 2.17, 17.20, 0.37, 203.63, 6.14, 0.01 ,0.14
206.00, 206.00, 7.95, 2.09, 16.76, 0.38, 206.38, 4.65, 0.01 ,0.23
206.00, 206.00, 8.67, 2.17, 19.05, 0.12, 205.88, 5.05, 0.02 ,0.03
