picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
200.00, 200.00, 9.57, 1.24, 20.45, 0.04, 199.96, 1.38, 0.00 ,0.14
200.00, 200.00, 9.45, 1.28, 19.39, 0.61, 200.61, 19.85, 0.00 ,0.19
200.00, 200.00, 9.93, 1.28, 21.27, 0.30, 200.30, 16.62, 0.00 ,0.10
200.00, 200.00, 9.57, 1.26, 20.19, 0.10, 200.10, 1.77, 0.00 ,0.03
200.00, 167.32, 9.43, 1.28, 19.34, 0.25, 200.25, 1.22, 0.00 ,0.03
200.00, 135.26, 9.84, 1.36, 19.72, 0.10, 199.90, 1.96, 0.00 ,0.09
200.00, 127.76, 9.99, 1.28, 21.49, 0.10, 200.10, 2.06, 0.00 ,0.09
200.00, 108.96, 9.77, 1.29, 20.59, 0.10, 200.10, 1.45, 0.00 ,0.10
200.00, 96.49, 9.61, 1.33, 19.24, 0.26, 199.74, 1.51, 0.00 ,0.11
200.00, 85.59, 9.49, 1.25, 19.89, 0.25, 199.75, 20.89, 0.00 ,0.18
202.00, 202.00, 9.77, 1.29, 20.47, 0.65, 202.65, 8.45, 0.00 ,0.24
202.00, 202.00, 9.69, 1.28, 20.40, 0.04, 202.04, 21.56, 0.00 ,0.29
202.00, 202.00, 9.66, 1.25, 20.69, 0.31, 202.31, 16.54, 0.00 ,0.17
202.00, 202.00, 9.61, 1.31, 19.57, 0.06, 201.94, 1.97, 0.00 ,0.03
202.00, 165.49, 9.89, 1.34, 20.25, 0.23, 202.23, 2.34, 0.00 ,0.06
202.00, 137.87, 9.84, 1.33, 20.21, 0.29, 202.29, 1.32, 0.00 ,0.09
202.00, 133.10, 9.16, 1.21, 19.25, 0.18, 201.82, 1.35, 0.00 ,0.13
202.00, 108.14, 10.55, 1.51, 20.51, 0.46, 202.46, 1.55, 0.00 ,0.10
202.00, 102.94, 9.26, 1.28, 18.56, 0.10, 201.90, 19.87, 0.00 ,0.20
202.00, 85.12, 9.83, 1.34, 20.06, 0.12, 201.88, 21.72, 0.00 ,0.24
204.00, 204.00, 9.69, 1.31, 19.87, 0.05, 204.05, 1.31, 0.00 ,0.18
204.00, 204.00, 9.83, 1.37, 19.62, 0.15, 204.15, 1.40, 0.00 ,0.09
204.00, 204.00, 10.08, 1.40, 20.08, 0.09, 204.09, 17.58, 0.00 ,0.23
204.00, 204.00, 9.77, 1.35, 19.59, 0.07, 204.07, 1.65, 0.00 ,0.03
204.00, 164.32, 8.87, 1.23, 17.83, 0.06, 204.06, 13.48, 0.00 ,0.19
204.00, 136.27, 10.55, 1.55, 20.29, 0.28, 203.72, 13.47, 0.00 ,0.06
204.00, 119.14, 9.59, 1.30, 19.67, 0.27, 204.27, 20.66, 0.00 ,0.18
204.00, 108.65, 10.28, 1.40, 21.01, 0.31, 203.69, 1.75, 0.00 ,0.09
204.00, 100.96, 9.33, 1.26, 19.24, 0.02, 204.02, 24.32, 0.00 ,0.24
204.00, 87.40, 9.29, 1.22, 19.75, 0.29, 203.71, 1.68, 0.00 ,0.10
206.00, 206.00, 10.79, 1.54, 20.97, 0.02, 205.98, 6.35, 0.00 ,0.22
206.00, 206.00, 10.73, 1.61, 20.14, 0.41, 205.59, 1.97, 0.00 ,0.03
206.00, 206.00, 9.63, 1.27, 20.23, 0.14, 205.86, 1.40, 0.00 ,0.09
206.00, 166.34, 9.82, 1.33, 20.16, 0.24, 206.24, 12.64, 0.00 ,0.08
206.00, 138.81, 9.74, 1.33, 19.88, 0.25, 206.25, 4.01, 0.00 ,0.08
206.00, 122.39, 9.74, 1.32, 19.94, 0.19, 206.19, 6.34, 0.00 ,0.07
206.00, 108.84, 9.94, 1.35, 20.35, 0.02, 206.02, 22.06, 0.00 ,0.25
206.00, 106.03, 10.46, 1.48, 20.52, 0.50, 206.50, 1.02, 0.00 ,0.09
206.00, 85.66, 10.44, 1.42, 21.38, 0.23, 205.77, 8.00, 0.00 ,0.22
208.00, 208.00, 9.74, 1.36, 19.44, 0.02, 208.02, 1.65, 0.00 ,0.09
208.00, 208.00, 9.14, 1.26, 18.49, 0.13, 207.87, 1.78, 0.00 ,0.10
208.00, 208.00, 9.77, 1.36, 19.49, 0.26, 207.74, 1.92, 0.00 ,0.03
208.00, 141.95, 10.25, 1.46, 20.04, 0.35, 207.65, 1.65, 0.00 ,0.03
208.00, 128.72, 9.70, 1.32, 19.79, 0.05, 208.05, 1.74, 0.00 ,0.10
