picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
200.00, 200.00, 9.74, 1.32, 19.99, 0.01, 199.99, 1.44, 0.00 ,0.13
200.00, 200.00, 9.85, 1.33, 20.20, 0.08, 200.08, 4.13, 0.00 ,0.09
200.00, 200.00, 9.92, 1.32, 20.70, 0.03, 200.03, 22.49, 0.00 ,0.20
200.00, 147.57, 10.11, 1.34, 21.18, 0.01, 200.01, 2.20, 0.00 ,0.09
200.00, 126.01, 10.12, 1.34, 21.15, 0.15, 200.15, 1.49, 0.00 ,0.10
200.00, 100.07, 9.49, 1.22, 20.47, 0.14, 199.86, 1.44, 0.00 ,0.12
200.00, 85.20, 10.05, 1.29, 21.59, 0.08, 200.08, 20.94, 0.00 ,0.25
200.00, 66.79, 9.92, 1.31, 20.80, 0.34, 199.66, 1.75, 0.00 ,0.10
200.00, 48.21, 9.43, 1.21, 20.32, 0.01, 200.01, 1.52, 0.00 ,0.13
200.00, 34.16, 10.24, 1.35, 21.50, 0.00, 200.00, 1.40, 0.00 ,0.12
202.00, 202.00, 9.69, 1.28, 20.31, 0.24, 201.76, 1.54, 0.00 ,0.13
202.00, 202.00, 10.45, 1.45, 20.93, 0.01, 201.99, 17.04, 0.00 ,0.19
202.00, 202.00, 10.15, 1.34, 21.25, 0.17, 202.17, 2.40, 0.00 ,0.03
202.00, 148.90, 10.21, 1.35, 21.38, 0.55, 201.45, 2.36, 0.00 ,0.03
202.00, 128.45, 9.94, 1.32, 20.81, 0.06, 202.06, 1.48, 0.00 ,0.09
202.00, 100.29, 10.14, 1.34, 21.24, 0.45, 202.45, 1.10, 0.00 ,0.14
202.00, 83.93, 9.80, 1.32, 20.15, 0.01, 202.02, 18.96, 0.00 ,0.22
202.00, 67.26, 9.09, 1.23, 18.66, 0.20, 202.20, 1.25, 0.00 ,0.10
202.00, 51.58, 10.02, 1.33, 21.01, 0.21, 202.21, 1.21, 0.00 ,0.12
202.00, 32.19, 9.78, 1.27, 20.89, 0.37, 201.63, 1.78, 0.00 ,0.10
204.00, 204.00, 10.02, 1.33, 21.00, 0.27, 203.73, 1.41, 0.00 ,0.19
204.00, 204.00, 10.56, 1.44, 21.50, 0.45, 204.45, 15.02, 0.00 ,0.15
204.00, 204.00, 10.73, 1.46, 21.85, 0.09, 204.09, 1.70, 0.00 ,0.03
204.00, 144.65, 9.98, 1.35, 20.45, 0.02, 204.02, 13.93, 0.00 ,0.14
204.00, 119.57, 10.25, 1.40, 20.89, 0.09, 203.91, 20.80, 0.00 ,0.17
