picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
200.00, 200.00, 10.44, 1.39, 21.70, 0.19, 199.81, 1.61, 0.00 ,0.13
200.00, 200.00, 10.43, 1.45, 20.85, 0.03, 200.03, 5.98, 0.00 ,0.07
200.00, 200.00, 9.90, 1.31, 20.76, 0.02, 199.98, 2.53, 0.00 ,0.03
200.00, 147.72, 9.42, 1.24, 19.86, 0.33, 199.67, 2.36, 0.00 ,0.09
200.00, 124.86, 9.98, 1.28, 21.50, 0.13, 199.87, 1.64, 0.00 ,0.10
200.00, 99.02, 9.14, 1.17, 19.69, 0.03, 199.97, 9.96, 0.00 ,0.10
200.00, 84.88, 12.12, 1.82, 22.75, 0.17, 199.83, 1.47, 0.00 ,0.08
200.00, 66.39, 10.38, 1.37, 21.78, 0.14, 200.14, 1.62, 0.00 ,0.09
200.00, 49.39, 9.84, 1.27, 21.12, 0.07, 200.07, 1.41, 0.00 ,0.13
200.00, 34.05, 9.81, 1.30, 20.57, 0.20, 200.20, 1.20, 0.00 ,0.11
204.00, 204.00, 9.60, 1.30, 19.75, 0.29, 203.71, 2.21, 0.00 ,0.13
204.00, 204.00, 10.22, 1.36, 21.39, 0.32, 203.68, 4.68, 0.00 ,0.03
204.00, 204.00, 10.69, 1.45, 21.87, 0.63, 204.63, 1.12, 0.00 ,0.03
204.00, 145.82, 9.76, 1.25, 20.98, 0.16, 204.16, 18.81, 0.00 ,0.27
204.00, 121.86, 10.10, 1.34, 21.08, 0.33, 204.33, 1.23, 0.00 ,0.09
204.00, 100.80, 9.42, 1.25, 19.74, 0.15, 204.15, 10.01, 0.00 ,0.24
204.00, 86.96, 10.41, 1.42, 21.26, 0.01, 204.01, 9.22, 0.00 ,0.19
204.00, 69.00, 9.66, 1.31, 19.78, 0.30, 203.70, 2.06, 0.00 ,0.10
204.00, 50.23, 10.57, 1.43, 21.67, 0.28, 203.72, 5.78, 0.00 ,0.08
204.00, 35.76, 9.85, 1.30, 20.67, 0.40, 203.60, 2.00, 0.00 ,0.10
208.00, 208.00, 10.37, 1.45, 20.66, 0.09, 208.09, 1.70, 0.00 ,0.09
208.00, 150.33, 10.19, 1.45, 19.94, 0.18, 207.82, 11.73, 0.00 ,0.08
208.00, 123.42, 9.84, 1.34, 20.10, 0.39, 207.61, 20.88, 0.00 ,0.20
208.00, 105.70, 10.01, 1.38, 20.26, 0.14, 208.14, 21.75, 0.00 ,0.14
208.00, 86.82, 9.84, 1.37, 19.69, 0.37, 208.37, 24.81, 0.00 ,0.14
208.00, 77.36, 10.56, 1.50, 20.57, 0.29, 207.71, 3.55, 0.00 ,0.09
208.00, 33.34, 10.45, 1.46, 20.83, 0.03, 207.97, 1.62, 0.00 ,0.09
212.00, 212.00, 9.62, 1.33, 19.26, 0.34, 211.66, 7.65, 0.00 ,0.26
212.00, 212.00, 9.81, 1.34, 19.97, 0.01, 212.01, 1.97, 0.00 ,0.09
212.00, 212.00, 12.02, 1.73, 23.23, 0.09, 212.09, 1.82, 0.00 ,0.08
212.00, 150.25, 12.18, 1.75, 23.43, 0.11, 211.89, 15.83, 0.00 ,0.13
212.00, 124.57, 10.81, 1.54, 21.05, 0.33, 211.67, 1.69, 0.00 ,0.09
212.00, 108.49, 9.47, 1.31, 19.03, 0.26, 211.74, 19.61, 0.00 ,0.13
212.00, 87.54, 10.04, 1.39, 20.23, 0.11, 211.89, 12.51, 0.00 ,0.14
212.00, 80.36, 9.76, 1.36, 19.46, 0.38, 211.62, 1.79, 0.00 ,0.08
212.00, 54.45, 10.54, 1.47, 20.95, 0.29, 212.29, 1.34, 0.00 ,0.10
212.00, 35.93, 10.28, 1.46, 20.13, 0.11, 211.89, 1.40, 0.00 ,0.09
